"학교구분","학교구분(세부)","성별","학년","학교소재지","학교소재지(지역규모)","1)평일여가시간(시간)","1)평일여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책일읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서의도움정도","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기1","독서의계기2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서선택시도움을받는사람1","도서선택시도움을받는사람2","도서입수경로1","도서입수경로2","1)초등학생독서분야선호도1","1)초등학생독서분야선호도2","1)초등학생독서분야선호도3","2)중고등학생독서분야선호도1","2)중고등학생독서분야선호도2","2)중고등학생독서분야선호도3","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","가정의독서권장","독서대화","부모님독서권유","선생님독서권유","아침독서시간여부","1)1주일평균아침독서실시횟수","2)1회평균아침독서시간","아침독서도움여부","아침독서희망여부","독서지도방법1","독서지도방법2","독서지도방법3","독서지도방법4","독서지도방법5","독서지도방법6","독서지도방법7","독서지도방법8","학교도서관이용여부","학교도서관이용횟수","학교도서관이용이유","공공도서관이용경험","주로이용하는공공도서관의종류1","주로이용하는공공도서관의종류2","공공도서관이용이유","공공도서관비이용이유","독서프로그램실시여부","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","참여해본독서프로그램7","참여해본독서프로그램8","참여해본독서프로그램9","참여해본독서프로그램10","참여해본독서프로그램11","참여해본독서프로그램12","참여해본독서프로그램13","참여해본독서프로그램만족도","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","참여희망독서프로그램7","참여희망독서프로그램8","참여희망독서프로그램9","참여희망독서프로그램10","참여희망독서프로그램11","참여희망독서프로그램12","참여희망독서프로그램13","독서동아리참여경험","참여해본독서동아리1","참여해본독서동아리2","참여해본독서동아리3","참여해본독서동아리4","참여해본독서동아리5","참여해본독서동아리6","참여해본독서동아리만족도","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)학교도서관(도서실)을편하게이용할수있으면좋겠다","2)학급문고에책이많으면좋겠다","3)좋은책에대한소개와정보를주면좋겠다","4)독서방법,독후감쓰기등에대한교육이있으면좋겠다","5)다양한독서관련행사가있으면좋겠다","6)독서시간을늘리면좋겠다","7)책과관련된대화를나누면좋겠다","8)평소책읽는모습을보여주면좋겠다","9)책을더많이사주면좋겠다","10)도서관과서점을부모님과함께이용하면좋겠다","가중치"
3,3,1,2,9,3,1,0,0,30,1,0,2,4,1,10,1,5.0,0,4,1,2,8,9,1,8,1,6,5,3,1,2,,,,1,2,10,5,40000,,,1,4,4,2,2,,,,2,1,2,,,,,,,1,3,2,2,,,,3,1,2,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,2,,,,,,,,3,5,,,,,,3,3,3,3,3,3,3,3,3,3,1.019365
3,3,1,2,9,3,10,0,4,0,0,0,3,5,1,10,2,10.0,0,1,7,9,8,7,9,1,1,9,5,6,1,4,,,,14,3,1,10,90000,,,2,3,3,3,2,,,,2,2,3,4,5,6,,,,1,2,7,1,1,,5,,1,2,,,,,,,,,,,,,,,6,4,6,,,,,,,,,,,,2,,,,,,,,3,6,,,,,,4,3,1,3,4,4,4,4,4,4,1.019365
3,3,1,2,9,3,2,0,0,30,0,30,3,3,1,4,2,14.0,5,3,1,2,8,1,1,5,8,10,5,4,1,6,,,,2,8,13,3,36000,2,16000,2,2,2,2,2,,,,2,7,,,,,,,,1,2,2,2,,,,3,1,2,,,,,,,,,,,,,,,3,98,,,,,,,,,,,,,2,,,,,,,,3,8,,,,,,3,3,3,3,3,4,3,3,3,3,1.019365
3,3,1,2,9,3,2,0,99,99,99,99,4,5,1,2,1,3.0,0,5,2,5,1,7,2,1,1,9,1,5,1,5,,,,4,13,6,3,50000,,,2,3,1,1,2,,,,2,1,5,8,,,,,,2,,,1,1,2,2,,1,2,,,,,,,,,,,,,,,5,2,10,,,,,,,,,,,,2,,,,,,,,4,2,,,,,,2,1,2,1,3,4,3,4,2,3,1.019365
3,3,1,2,9,3,2,0,99,99,99,99,4,5,1,4,3,2.0,1,5,7,1,8,9,1,6,1,5,2,4,1,7,,,,1,3,11,5,55000,0,0,3,4,5,1,2,,,,9,3,5,,,,,,,1,2,3,2,,,,7,1,2,,,,,,,,,,,,,,,2,2,5,8,,,,,,,,,,,2,,,,,,,,1,2,3,,,,,2,3,2,4,3,3,5,2,1,4,1.019365
3,3,1,2,9,3,2,0,99,99,99,99,9,5,1,13,1,10.0,0,4,1,3,8,10,1,3,8,12,2,5,3,,,,,3,4,5,0,0,,,1,1,1,1,2,,,,1,1,3,5,,,,,,1,2,99,1,1,3,1,,1,1,3,7,,,,,,,,,,,,1,,1,7,,,,,,,,,,,,1,1,3,,,,,5,,1,2,3,4,5,,1,1,1,1,1,1,1,1,1,1,1.019365
3,3,1,2,9,3,3,0,0,15,0,30,3,4,1,2,2,16.0,1,4,2,3,1,7,1,6,8,10,5,6,1,6,,,,2,5,11,3,50000,0,0,2,4,2,2,2,,,,2,2,3,,,,,,,1,2,99,1,1,,1,,1,1,4,5,6,11,,,,,,,,,,2,,9,10,,,,,,,,,,,,2,,,,,,,,5,1,,,,,,3,2,2,2,2,3,3,3,2,2,1.019365
3,3,1,2,9,3,5,0,0,20,0,20,4,5,1,5,2,3.0,0,4,1,2,1,2,1,3,2,5,1,3,2,,,,,6,5,11,99999,99999999,,,1,3,2,2,2,,,,2,9,,,,,,,,9,,,2,,,,2,1,1,2,,,,,,,,,,,,,3,,99,,,,,,,,,,,,,2,,,,,,,,5,1,,,,,,2,2,2,2,2,3,1,2,3,2,1.019365
3,3,1,2,9,3,5,0,99,99,99,99,3,4,1,13,2,10.0,0,3,3,5,1,3,2,1,5,1,1,5,5,1,,,,1,13,3,10,100000,,,1,3,3,2,2,,,,2,2,4,5,,,,,,1,3,1,1,1,2,1,,1,1,4,6,11,,,,,,,,,,,2,,2,4,6,,,,,,,,,,,2,,,,,,,,9,2,,,,,,1,1,1,1,1,1,1,1,1,1,1.019365
3,3,1,2,9,3,6,0,1,0,2,0,2,1,1,2,4,10.0,0,3,7,10,8,10,8,1,4,8,5,4,2,,,,,1,3,2,0,0,,,2,2,4,3,2,,,,2,7,,,,,,,,1,2,1,2,,,,2,1,1,5,13,,,,,,,,,,,,3,,6,,,,,,,,,,,,,2,,,,,,,,5,6,,,,,,5,5,5,5,5,5,5,5,5,5,1.019365
3,3,1,2,9,3,99,99,5,0,5,0,1,1,1,6,3,30.0,0,1,7,2,8,7,1,6,1,2,5,3,1,6,,,,3,5,2,20,200000,,,1,3,1,1,2,,,,1,1,,,,,,,,1,2,99,2,,,,3,1,2,,,,,,,,,,,,,,,3,1,8,,,,,,,,,,,,2,,,,,,,,3,2,3,,,,,3,3,3,3,3,3,3,3,3,3,1.019365
3,3,1,3,10,2,0,0,0,0,0,0,5,3,1,11,2,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,2,2,,,,2,2,4,,,,,,,2,,,2,,,,2,2,2,,,,,,,,,,,,,,,5,11,,,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,0,0,0,0,1,0,2,4,1,13,2,7.0,0,3,1,3,1,10,1,2,1,7,5,6,1,5,,,,8,10,13,6,70000,,,2,1,2,3,2,,,,2,2,8,,,,,,,2,,,1,1,4,1,,2,2,,,,,,,,,,,,,,,5,11,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,2,2,2,3,3,3,3,3,3,2,2.315850
3,3,1,3,10,2,1,0,0,0,1,0,3,4,1,10,1,12.0,0,4,1,3,8,9,2,4,1,5,5,4,1,5,,,,12,8,1,6,100000,,,1,3,2,2,2,,,,2,2,5,,,,,,,1,4,9,1,1,2,1,,2,1,1,5,6,11,,,,,,,,,,3,,2,9,10,,,,,,,,,,,2,,,,,,,,4,1,,,,,,1,3,2,2,2,3,3,3,3,3,2.315850
3,3,1,3,10,2,1,0,0,30,0,30,3,3,1,7,2,8.0,0,3,1,2,1,9,1,,1,3,2,1,1,3,,,,2,8,,8,100000,,,2,3,3,3,2,,,,2,2,,,,,,,,2,,,1,1,,1,,2,2,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,2,,,,,,,,2,2,,,,,,3,1,3,3,3,3,2,3,3,3,2.315850
3,3,1,3,10,2,1,0,1,0,1,0,3,3,2,4,3,5.0,1,4,1,2,1,8,3,5,1,8,4,5,1,4,,,,8,7,1,15,300000,0,0,3,5,1,3,2,,,,2,2,4,,,,,,,1,2,3,2,,,,2,2,2,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,,4,9,,,,,,2,3,2,1,2,3,2,1,3,2,2.315850
3,3,1,3,10,2,1,30,0,0,1,0,2,2,4,1,1,13.0,15,3,3,1,8,,1,2,5,9,5,,1,5,,,,1,2,11,11,105000,0,0,1,4,3,3,2,,,,2,2,3,,,,,,,1,4,2,1,1,4,1,,2,2,,,,,,,,,,,,,,,2,1,7,9,,,,,,,,,,,2,,,,,,,,2,1,,,,,,1,1,1,3,1,3,2,2,3,3,2.315850
3,3,1,3,10,2,10,0,0,0,0,0,5,3,2,6,2,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,,,,2,9,,,,,,,,2,,,2,,,,6,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,,,,,,,,4,2,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,10,0,0,0,1,0,2,5,5,4,1,1.0,0,5,2,1,6,8,7,8,3,1,5,6,1,8,,,,9,5,2,1,10000,,,1,5,5,4,2,,,,2,7,,,,,,,,2,,,1,1,,5,,2,2,,,,,,,,,,,,,,,2,4,11,12,,,,,,,,,,,2,,,,,,,,2,2,,,,,,2,2,1,4,3,1,3,1,3,3,2.315850
3,3,1,3,10,2,10,0,99,99,99,99,9,5,5,11,3,3.0,10,3,2,3,6,1,1,5,1,4,1,4,3,4,,,,2,9,12,2,20000,5,13000,5,5,1,2,2,,,,2,4,,,,,,,,1,5,1,2,,,,8,2,2,,,,,,,,,,,,,,,1,4,7,,,,,,,,,,,,2,,,,,,,,4,2,,,,,,5,5,5,4,3,4,4,3,2,3,2.315850
3,3,1,3,10,2,2,0,0,0,0,0,5,3,4,11,5,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,3,2,,,,2,7,,,,,,,,2,,,2,,,,1,2,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,5,5,5,5,5,5,5,5,5,5,2.315850
3,3,1,3,10,2,2,0,0,0,0,10,4,2,2,4,2,99999.0,0,5,7,2,8,9,8,,5,7,3,4,3,,,,,2,1,13,99999,99999999,,,3,5,3,3,2,,,,1,1,,,,,,,,2,,,2,,,,12,2,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,3,2,2,4,4,2,3,3,3,3,2.315850
3,3,1,3,10,2,2,0,0,0,1,0,2,5,1,3,3,7.0,0,3,3,1,8,10,1,2,4,6,5,4,1,3,,,,8,12,1,2,30000,,,1,4,5,3,2,,,,2,2,8,,,,,,,2,,,2,,,,3,2,2,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,1,1,1,4,4,4,4,4,4,4,2.315850
3,3,1,3,10,2,2,0,0,0,1,0,3,3,1,13,3,10.0,0,3,1,2,1,4,1,2,1,2,1,2,1,2,,,,1,12,13,4,28000,,,2,3,3,3,2,,,,2,2,4,,,,,,,2,,,1,1,2,1,,2,1,1,2,,,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,2,0,99,99,99,99,4,2,1,4,2,5.0,0,4,2,3,8,9,1,2,8,7,5,6,1,7,,,,2,13,12,10,180000,,,4,4,2,3,2,,,,2,2,5,,,,,,,1,4,2,1,1,,5,,2,2,,,,,,,,,,,,,,,3,10,12,,,,,,,,,,,,2,,,,,,,,5,4,,,,,,2,1,1,4,4,4,4,4,3,4,2.315850
3,3,1,3,10,2,3,0,0,0,0,0,5,4,2,11,4,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,4,2,,,,2,7,,,,,,,,2,,,2,,,,2,2,2,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,4,4,4,4,4,4,4,4,4,4,2.315850
3,3,1,3,10,2,3,0,0,0,1,0,3,3,1,2,2,5.0,0,3,2,7,1,8,1,2,1,5,1,4,5,1,,,,2,1,4,4,40000,,,2,3,2,2,2,,,,1,1,2,3,,,,,,2,,,1,1,2,9,,2,2,,,,,,,,,,,,,,,2,1,11,,,,,,,,,,,,2,,,,,,,,2,2,4,,,,,2,3,2,2,2,2,2,1,3,2,2.315850
3,3,1,3,10,2,3,0,1,0,1,0,2,2,1,2,1,4.0,0,3,2,1,7,8,1,2,4,8,5,4,1,7,,,,2,8,10,3,40000,,,2,5,2,2,2,,,,2,1,5,,,,,,,1,4,2,1,1,2,1,,2,2,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,3,0,99,99,99,99,4,2,2,12,1,2.0,0,5,6,4,1,5,1,2,5,8,4,5,6,3,,,,2,11,12,0,0,,,2,5,2,2,2,,,,2,2,,,,,,,,1,5,2,2,,,,6,2,2,,,,,,,,,,,,,,,1,1,12,,,,,,,,,,,,2,,,,,,,,2,3,4,,,,,3,2,1,3,1,3,1,1,2,1,2.315850
3,3,1,3,10,2,4,0,0,0,1,0,2,5,1,13,2,8.0,0,3,1,3,1,8,1,7,1,12,5,4,5,1,,,,3,1,12,4,70000,,,1,4,2,2,2,,,,2,2,,,,,,,,2,,,1,1,,5,,2,1,5,,,,,,,,,,,,,5,,4,6,8,,,,,,,,,,,2,,,,,,,,2,2,,,,,,1,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,4,0,1,0,2,0,2,2,1,5,1,10.0,2,2,2,7,8,6,1,5,1,4,5,3,1,8,,,,2,8,10,4,40000,0,0,1,3,1,2,2,,,,1,2,,,,,,,,1,2,2,1,1,2,5,,2,2,,,,,,,,,,,,,,,4,1,4,6,12,,,,,,,,,,2,,,,,,,,4,5,,,,,,1,2,2,3,2,2,1,2,3,1,2.315850
3,3,1,3,10,2,5,0,99,99,99,99,9,3,4,6,4,1.0,0,5,1,9,1,9,1,8,7,10,4,5,4,7,,,,8,12,13,0,0,,,2,4,3,3,2,,,,2,2,,,,,,,,1,3,2,2,,,,3,2,2,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,2,,,,,,,,1,4,,,,,,1,1,1,5,5,5,5,5,5,5,2.315850
3,3,1,3,10,2,6,0,0,0,0,0,5,3,2,7,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,,,,2,7,,,,,,,,1,4,99,2,,,,9,2,2,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,6,0,2,0,2,0,1,3,4,8,3,36.0,60,3,7,9,7,9,2,1,8,9,5,4,1,7,,,,9,11,2,36,288800,0,0,1,4,3,4,2,,,,2,9,,,,,,,,2,,,2,,,,12,2,2,,,,,,,,,,,,,,,6,98,,,,,,,,,,,,,2,,,,,,,,6,1,,,,,,4,2,4,5,5,5,4,5,1,5,2.315850
3,3,1,3,10,2,6,0,99,99,99,99,9,3,2,13,3,2.0,0,4,5,1,1,9,8,1,1,12,5,3,6,,,,,8,12,2,0,0,,,3,4,4,4,2,,,,2,2,,,,,,,,2,,,2,,,,12,2,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,8,0,0,0,0,0,5,3,6,2,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,2,,,,2,3,4,,,,,,,2,,,2,,,,3,2,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,8,0,1,0,2,0,3,3,1,5,2,8.0,0,3,1,2,3,7,1,2,5,8,4,1,3,5,,,,1,6,12,2,24000,,,1,3,3,2,2,,,,2,1,2,,,,,,,2,,,1,1,2,1,,2,2,,,,,,,,,,,,,,,4,4,10,11,,,,,,,,,,,2,,,,,,,,4,5,,,,,,2,2,1,3,3,3,3,3,3,2,2.315850
3,3,1,3,10,2,8,0,99,99,99,99,3,4,2,6,3,4.0,0,4,1,7,1,4,2,,6,3,3,5,1,,,,,1,4,6,99999,99999999,,,3,4,2,2,2,,,,2,1,2,4,5,,,,,2,,,2,,,,3,2,2,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,2,,,,,,,,1,3,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,10,2,99,99,0,30,1,0,3,5,1,2,2,9.0,0,2,2,3,1,,1,,4,,5,,1,2,,,,8,12,,9,100000,,,4,4,3,3,2,,,,1,2,4,5,6,,,,,2,,,2,,,,2,2,2,,,,,,,,,,,,,,,1,1,3,4,7,11,,,,,,,,,2,,,,,,,,1,1,,,,,,2,2,2,2,2,2,3,4,1,5,2.315850
3,3,1,3,10,2,99,99,99,99,99,99,3,2,5,6,2,99999.0,0,2,3,6,4,7,2,5,2,4,2,4,2,,,,,2,3,4,99999,99999999,,,2,2,5,2,2,,,,2,2,,,,,,,,2,,,2,,,,9,2,2,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,2,,,,,,,,3,2,,,,,,2,2,3,2,2,2,2,2,2,2,2.315850
3,3,1,3,14,3,2,0,2,0,2,0,1,3,8,,1,20.0,10,5,2,8,8,1,8,,1,8,3,4,1,4,,,,13,12,10,16,200000,18,400000,1,1,1,4,2,,,,1,7,,,,,,,,1,1,2,1,1,2,1,,2,1,1,2,,,,,,,,,,,,1,,1,2,3,4,5,6,7,8,9,10,11,12,,1,5,,,,,,1,,1,2,3,4,5,,1,1,1,1,1,1,1,1,1,1,1.119253
3,3,1,3,14,3,4,0,99,99,99,99,4,4,1,2,2,5.0,0,4,7,1,3,8,2,3,1,8,5,4,4,1,,,,2,13,8,6,70000,,,5,3,3,4,2,,,,1,4,,,,,,,,1,3,2,2,,,,3,2,1,6,,,,,,,,,,,,,4,,99,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,2,3,1,2,3,1,3,1,1,3,1.119253
3,3,1,3,14,3,5,0,0,30,0,30,3,3,1,5,4,2.0,0,5,3,1,8,1,8,1,4,6,5,4,1,7,,,,12,13,11,2,50000,,,2,3,2,4,2,,,,1,2,5,,,,,,,1,3,2,2,,,,8,2,2,,,,,,,,,,,,,,,2,5,7,12,,,,,,,,,,,2,,,,,,,,2,2,5,,,,,2,2,2,2,2,3,3,3,3,4,1.119253
3,3,1,3,14,3,5,0,3,0,0,0,4,2,2,11,3,3.0,0,5,9,2,8,5,2,1,5,8,4,5,3,4,,,,2,1,11,0,0,,,3,4,2,2,2,,,,1,2,3,5,,,,,,1,5,2,1,1,,5,,2,2,,,,,,,,,,,,,,,1,99,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,3,3,3,3,3,3,3,3,3,3,1.119253
3,3,1,3,14,3,9,0,99,99,99,99,3,3,11,4,1,12.0,0,5,7,9,8,9,2,1,1,8,5,4,4,,,,,6,1,2,0,0,,,4,3,5,4,2,,,,1,2,5,,,,,,,1,3,2,2,,,,3,2,2,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,5,5,5,5,5,5,5,5,5,5,1.119253
3,3,1,3,15,2,1,0,99,99,99,99,9,3,8,2,3,6.0,0,3,1,2,1,2,1,2,1,2,1,2,2,,,,,1,2,3,0,0,,,3,3,3,3,2,,,,2,2,4,,,,,,,2,,,2,,,,1,2,2,,,,,,,,,,,,,,,1,6,7,,,,,,,,,,,,2,,,,,,,,1,3,4,,,,,3,3,3,3,3,3,3,3,3,3,2.169630
3,3,1,3,15,2,1,0,99,99,99,99,9,5,1,2,3,10.0,0,4,1,2,1,2,1,2,1,2,1,2,3,,,,,1,4,12,10,180000,,,3,3,3,3,2,,,,2,2,,,,,,,,2,,,1,1,2,1,,2,1,6,,,,,,,,,,,,,3,,9,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.169630
3,3,1,3,15,2,2,0,99,99,99,99,4,3,1,5,2,2.0,1,4,1,5,2,6,2,5,2,8,2,3,1,7,,,,6,10,,4,50000,0,0,4,2,2,2,2,,,,1,2,4,5,,,,,,2,,,2,,,,3,2,2,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,2,2,3,1,2,3,2,2,2,2.169630
3,3,1,3,15,2,2,0,99,99,99,99,9,2,2,11,3,3.0,0,2,5,6,1,4,2,,1,8,4,5,99,,,,,1,2,11,3,24000,,,2,2,3,2,2,,,,2,2,5,,,,,,,2,,,2,,,,4,2,1,5,,,,,,,,,,,,,4,,4,9,,,,,,,,,,,,2,,,,,,,,1,2,4,,,,,4,2,2,3,2,3,2,2,3,2,2.169630
3,3,1,3,15,2,3,0,0,50,0,10,2,3,1,6,3,3.0,1,3,1,2,4,5,1,3,5,8,3,4,4,2,,,,1,2,11,1,11000,99999,99999999,2,3,2,3,2,,,,2,2,5,,,,,,,1,3,2,1,1,,1,,2,2,,,,,,,,,,,,,,,3,99,,,,,,,,,,,,,2,,,,,,,,3,9,,,,,,3,3,3,3,3,3,3,3,3,3,2.169630
3,3,1,3,15,2,3,0,1,0,2,0,1,1,11,6,2,20.0,0,2,5,2,9,1,1,2,1,6,5,4,1,4,,,,1,3,11,5,70000,,,2,2,2,2,2,,,,1,1,2,3,4,5,,,,1,2,2,1,1,,1,,2,2,,,,,,,,,,,,,,,1,3,4,6,11,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,2,2,2,2,3,2,2,2,2,2.169630
3,3,1,3,15,2,3,0,99,99,99,99,9,3,11,2,2,4.0,0,3,1,3,1,8,2,1,4,7,5,6,6,,,,,11,1,7,0,0,,,1,1,4,3,2,,,,2,5,,,,,,,,2,,,1,1,,1,,2,2,,,,,,,,,,,,,,,3,99,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,5,5,5,5,5,5,5,2,5,5,2.169630
3,3,1,3,15,2,5,0,0,30,0,0,4,5,4,2,3,3.0,0,5,1,2,1,8,1,2,1,7,4,5,3,,,,,11,13,3,0,0,,,2,2,3,4,2,,,,1,3,5,,,,,,,1,2,2,1,1,3,5,,2,2,,,,,,,,,,,,,,,3,2,4,9,,,,,,,,,,,2,,,,,,,,2,1,,,,,,3,3,2,3,2,1,2,2,3,2,2.169630
3,3,1,3,15,2,6,0,0,0,0,0,5,3,1,5,2,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,2,8,,,,,,,,2,,,2,,,,3,2,2,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,2,,,,,,,,3,2,,,,,,1,1,1,1,1,1,1,1,1,1,2.169630
3,3,1,3,15,2,6,0,3,0,3,0,2,1,2,5,2,30.0,0,3,1,9,9,8,1,2,1,7,4,5,4,5,,,,2,11,1,0,0,,,3,3,2,3,2,,,,2,2,5,,,,,,,1,1,2,1,1,2,1,,2,2,,,,,,,,,,,,,,,2,4,7,11,,,,,,,,,,,2,,,,,,,,3,2,5,,,,,1,1,1,1,1,1,1,1,1,1,2.169630
3,3,1,3,15,2,99,99,99,99,99,99,9,9,99,,9,9.0,9,9,1,2,1,2,1,2,1,2,1,2,1,2,,,,1,2,3,99999,99999999,99999,99999999,3,3,3,3,2,,,,2,9,,,,,,,,1,1,2,1,1,2,1,,2,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,9,,,,,,1,,2,,,,,,3,3,3,3,3,3,3,3,3,3,2.169630
3,3,1,3,4,1,0,0,0,0,0,0,5,5,7,9,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,,,,1,1,3,,,,,,,2,,,1,2,1,1,,2,1,2,4,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,1,2,,,,,,2,,2,,,,,,1,2,2,1,2,1,2,1,1,1,2.315850
3,3,1,3,4,1,0,0,0,0,1,0,4,5,1,5,3,2.0,10,1,1,5,1,8,1,7,1,2,1,2,2,,,,,1,2,3,0,0,0,0,1,1,1,1,2,,,,2,1,,,,,,,,1,1,1,1,1,2,1,,2,9,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,4,1,1,0,0,0,99,99,3,3,1,4,2,3.0,0,5,2,7,1,8,1,3,5,1,5,4,1,4,,,,8,4,2,3,32000,,,1,3,1,2,2,,,,2,2,,,,,,,,1,3,3,2,,,,3,2,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,1,1,1,1,1,1,1,1,1,1,2.315850
3,3,1,3,4,1,1,0,0,30,0,45,4,3,1,6,3,99999.0,99999,4,9,1,8,9,1,2,1,3,9,,99,,,,,99,,,99999,99999999,99999,99999999,4,4,3,3,2,,,,2,2,5,,,,,,,1,4,2,2,,,,3,2,1,2,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,2.315850
3,3,1,3,4,1,1,0,1,0,1,0,4,2,2,4,3,99999.0,99999,3,2,4,2,4,1,3,2,4,2,1,2,,,,,2,4,3,0,0,0,0,2,2,2,2,2,,,,9,2,3,,,,,,,1,1,2,1,1,2,5,,2,2,,,,,,,,,,,,,,,4,4,5,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
3,3,1,3,4,1,1,0,1,0,2,0,2,2,5,6,2,3.0,0,1,7,,4,,5,,4,10,2,,6,,,,,8,,,99999,99999999,,,4,2,3,4,2,,,,2,6,,,,,,,,1,1,99,2,,,,5,2,1,7,,,,,,,,,,,,,9,,6,,,,,,,,,,,,,2,,,,,,,,3,4,,,,,,1,2,3,2,4,9,2,9,3,4,2.315850
3,3,1,3,4,1,1,1,1,1,1,1,1,1,1,2,1,1.0,1,1,1,2,1,2,1,2,1,2,1,2,1,2,,,,1,2,3,1,1000,2,2000,1,1,1,1,2,,,,2,1,,,,,,,,1,1,1,1,1,2,1,,2,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,2.315850
3,3,1,3,4,1,1,30,0,10,0,20,4,3,1,13,2,15.0,0,3,2,5,8,1,4,1,1,5,5,4,5,,,,,2,8,11,0,0,,,2,4,2,2,2,,,,2,2,,,,,,,,1,4,2,1,1,2,2,,2,2,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,3,3,3,3,3,3,3,3,3,3,2.315850
